City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Nalut,LY,30.3333,10.85,80.6,21,73,5.97,broken clouds
175,Cozumel,MX,20.5083,-86.9458,79.95,90,100,8.01,overcast clouds
176,Sisimiut,GL,66.9395,-53.6735,31.66,96,100,5.57,snow
177,Goderich,CA,43.7501,-81.7165,53.92,47,74,9.22,broken clouds
178,Sao Filipe,CV,14.8961,-24.4956,78.84,76,41,7.65,scattered clouds
179,Castro,BR,-24.7911,-50.0119,58.6,95,100,9.84,overcast clouds
180,Nizwa,OM,22.9333,57.5333,78.78,16,7,4.79,clear sky
181,Vorkuta,RU,67.5,64.0,37.92,97,100,17.22,light rain
182,Norden,DE,53.6,7.2,54.97,67,5,1.99,clear sky
183,Moussoro,TD,13.6408,16.4901,90.14,30,10,10.6,clear sky
184,Mandal,IN,25.45,74.5667,77.09,59,2,3.69,clear sky
185,Ayacucho,PE,-13.1583,-74.2239,78.66,21,40,1.14,scattered clouds
186,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.81,62,86,1.79,light rain
187,Grand Gaube,MU,-20.0064,57.6608,72.0,70,11,4.0,few clouds
188,Kikwit,CD,-5.041,18.8162,75.42,74,87,2.59,overcast clouds
189,Nassau,US,40.7507,-73.5829,70.88,44,0,16.11,clear sky
190,Sorkjosen,NO,69.8,20.9333,50.0,66,0,17.27,clear sky
191,Luderitz,NA,-26.6481,15.1594,60.19,89,90,5.77,overcast clouds
192,Umm Kaddadah,SD,13.6017,26.6876,90.19,24,3,7.14,clear sky
193,Puerto Carreno,CO,6.189,-67.4859,91.38,58,40,8.05,scattered clouds
194,Riesa,DE,51.3,13.3,57.34,82,71,9.75,broken clouds
195,Butler,US,39.4501,-84.5666,73.62,39,0,12.66,clear sky
196,Yenagoa,NG,4.9247,6.2642,76.73,90,100,3.96,overcast clouds
197,Hosdurga,IN,13.7981,76.2861,73.63,85,100,4.61,moderate rain
198,Sete,FR,43.4018,3.6966,66.06,79,97,3.2,overcast clouds
199,Farafangana,MG,-22.8167,47.8333,68.88,83,0,10.22,clear sky
200,Ostersund,SE,63.1792,14.6357,50.61,71,100,12.66,overcast clouds
201,Moyale,KE,3.5167,39.0584,74.21,43,43,4.43,scattered clouds
202,Buta,CD,2.7858,24.73,70.65,98,100,2.66,light rain
203,Lambare,PY,-25.3468,-57.6065,54.99,100,100,5.75,drizzle
204,Gewane,ET,10.1664,40.6453,90.14,28,100,8.97,overcast clouds
205,Manaus,BR,-3.1019,-60.025,90.09,58,40,9.22,light rain
206,Puerto Madryn,AR,-42.7692,-65.0385,69.89,23,0,22.08,clear sky
207,Sarankhola,BD,22.3082,89.7897,77.29,91,90,4.61,overcast clouds
208,Mayenne,FR,48.3333,-0.6667,60.24,93,100,12.55,overcast clouds
209,Krasnoselkup,RU,65.7,82.4667,39.9,98,100,10.0,light rain
210,Nikel,RU,69.4128,30.222,37.58,92,80,8.03,broken clouds
211,Jacareacanga,BR,-6.2222,-57.7528,72.48,93,100,6.69,overcast clouds
212,Jawhar,SO,2.7809,45.5005,75.94,79,0,14.16,clear sky
213,Havre-Saint-Pierre,CA,50.2334,-63.5986,43.16,75,100,13.8,overcast clouds
214,Olinda,BR,-8.0089,-34.8553,83.93,65,40,14.97,scattered clouds
215,George Town,MY,5.4112,100.3354,80.89,86,20,0.0,few clouds
216,Troitskoye,RU,52.9821,84.6757,40.96,89,37,9.15,scattered clouds
217,Iralaya,HN,15.0,-83.2333,81.61,84,100,7.31,overcast clouds
218,Warmbad,NA,-28.45,18.7333,81.79,18,100,8.7,overcast clouds
219,Saint-Augustin,CA,51.226,-58.6502,45.63,41,100,14.05,overcast clouds
220,Bathsheba,BB,13.2167,-59.5167,86.61,79,40,18.41,scattered clouds
221,Kyzyl-Suu,KG,42.3414,78.0056,41.22,47,0,5.66,clear sky
222,Goedereede,NL,51.8175,3.9806,57.18,75,0,1.01,clear sky
223,Copiapo,CL,-27.3667,-70.3333,58.69,28,3,10.51,clear sky
224,Mutum,BR,-19.8,-41.4383,89.35,42,6,4.79,clear sky
225,Maniitsoq,GL,65.4167,-52.9,35.17,92,100,17.85,snow
226,Basoko,CD,1.2391,23.616,73.24,88,100,3.24,overcast clouds
227,Zemio,CF,5.0314,25.1361,70.86,94,100,3.2,light rain
228,Bouca,CF,6.5105,18.2733,70.09,95,100,1.95,light rain
229,Mahebourg,MU,-20.4081,57.7,71.89,83,40,11.5,scattered clouds
230,Waidhofen,DE,48.5833,11.3333,60.28,96,20,0.0,few clouds
231,Leh,IN,34.1667,77.5833,45.28,45,72,5.84,broken clouds
232,Wattegama,LK,6.7989,81.4808,75.74,89,99,3.6,overcast clouds
233,Ormara,PK,25.2088,64.6357,79.54,57,0,7.7,clear sky
234,Balkanabat,TM,39.5108,54.3671,73.29,15,0,9.89,clear sky
235,Bignona,SN,12.8103,-16.2264,87.84,84,86,4.21,light rain
236,Bull Savanna,JM,17.8868,-77.5902,83.61,68,41,12.91,scattered clouds
237,Arvi,IN,20.9833,78.2333,72.72,96,100,7.74,overcast clouds
238,Chicama,PE,-7.8447,-79.1469,64.94,61,27,10.2,scattered clouds
239,Muzhi,RU,65.3667,64.6667,39.81,76,97,10.94,overcast clouds
240,Devrek,TR,41.2192,31.9558,55.54,95,23,2.08,few clouds
241,Romny,UA,50.751,33.4747,46.26,73,86,14.12,overcast clouds
242,Bodden Town,KY,19.2833,-81.25,89.6,74,20,10.0,few clouds
243,Lichinga,MZ,-13.3128,35.2406,69.89,49,0,8.05,clear sky
244,Praia Da Vitoria,PT,38.7333,-27.0667,75.45,78,20,8.86,few clouds
245,Lons,FR,43.3167,-0.4,67.05,83,100,3.44,overcast clouds
246,Aksarka,RU,66.5606,67.7975,39.4,88,100,16.06,overcast clouds
247,Skibbereen,IE,51.55,-9.2667,51.12,75,22,4.36,few clouds
248,High Rock,BS,26.6208,-78.2833,87.82,67,4,6.85,clear sky
249,Saint Andrews,US,34.0454,-81.1293,72.14,66,100,9.22,overcast clouds
250,Ciego De Avila,CU,21.84,-78.7619,87.53,60,100,9.44,overcast clouds
251,Vasai,IN,19.47,72.8,82.49,84,99,1.45,overcast clouds
252,Minsk,BY,53.9,27.5667,35.35,72,19,5.37,few clouds
253,Port Blair,IN,11.6667,92.75,75.24,94,100,0.0,drizzle
254,Marathon,US,44.9,-89.7668,60.04,60,0,8.05,clear sky
255,Matagami,CA,49.7502,-77.6328,46.51,49,20,14.97,few clouds
256,Saint Anthony,US,45.0205,-93.218,70.93,45,0,14.97,clear sky
257,Poltava,UA,49.5937,34.5407,48.45,86,100,18.72,moderate rain
258,Shelburne,CA,44.0787,-80.2041,55.9,47,34,9.75,scattered clouds
259,Sumbe,AO,-11.2061,13.8437,73.56,84,11,7.61,few clouds
260,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,3.44,clear sky
261,Goure,NE,13.9835,10.2704,90.64,15,0,9.24,clear sky
262,Sorland,NO,67.667,12.6934,50.2,77,100,26.11,overcast clouds
263,Timra,SE,62.487,17.3257,50.68,81,100,12.66,overcast clouds
264,Hamilton,US,39.1834,-84.5333,73.99,38,0,8.05,clear sky
265,Moss Point,US,30.4116,-88.5345,80.62,35,0,10.36,clear sky
266,Havelock,US,34.8791,-76.9013,73.35,55,46,5.28,scattered clouds
267,Bama,NG,11.5221,13.6856,83.12,45,100,7.67,light rain
268,Andreapol,RU,56.6513,32.2664,40.3,87,99,2.75,overcast clouds
269,Leeuwarden,NL,53.2014,5.8086,54.0,84,5,8.05,clear sky
270,Vangaindrano,MG,-23.35,47.6,67.15,87,1,7.61,clear sky
271,Nizhniy Baskunchak,RU,48.2198,46.8311,60.01,71,87,7.81,overcast clouds
272,Beitbridge,ZW,-22.2167,30.0,80.31,50,0,16.28,clear sky
273,Sandy Bay,AU,-42.913,147.3532,47.08,94,100,6.91,overcast clouds
274,Rosetta,EG,31.4044,30.4164,72.18,70,0,8.55,clear sky
275,Hundested,DK,55.9667,11.8667,53.22,90,100,5.01,moderate rain
276,Lisala,CD,2.15,21.5167,71.56,96,100,2.08,overcast clouds
277,Arani,IN,12.6667,79.2833,75.06,94,97,2.75,overcast clouds
278,Kuytun,RU,54.3419,101.5036,41.47,92,100,3.27,overcast clouds
279,Candolim,IN,15.5181,73.7626,77.0,94,75,4.61,drizzle
280,Guspini,IT,39.5406,8.6294,68.72,86,33,3.06,scattered clouds
281,Gat,IL,31.61,34.7642,74.08,100,0,5.48,clear sky
