,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Rajnagar,IN,75.02,light rain,24.8833,79.9167,The LaLiT Temple View Khajuraho
352,Sambava,MG,70.09,light rain,-14.2667,50.1667,Melrose
355,Bam,IR,70.9,clear sky,29.106,58.357,Bam Tourist Hotel
357,Tupa,BR,71.15,overcast clouds,-21.9347,-50.5136,Grande Hotel Tamoios
360,Concordia,AR,68.79,clear sky,-31.393,-58.0209,Palmar Hotel Casino
364,Iguape,BR,65.35,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
367,Mwinilunga,ZM,69.22,few clouds,-11.7358,24.4293,Kwakuwahi Lodge
368,Marzuq,YE,74.66,few clouds,14.4,46.4667,حيد القفلة
374,Kundla,IN,78.62,overcast clouds,21.3333,71.3,Savarkundla Jain Vidhyarthi Gruh
375,Tulsipur,NP,65.66,broken clouds,28.131,82.2973,Ekanta Hotel Pvt. Ltd
381,Colares,PT,68.32,fog,38.7992,-9.4469,Arribas Sintra Hotel
383,Abu Kamal,SY,76.41,clear sky,34.4506,40.9171,البوكمال
384,Lakota,CI,72.5,broken clouds,5.8528,-5.6883,Aziz bah divers
385,Muisne,EC,76.46,overcast clouds,0.6,-80.0333,Quinta Samay
386,Antofagasta,CL,60.08,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
393,Puerto Cabezas,NI,78.76,broken clouds,14.0351,-83.3888,Cabaña Caribe
396,Awjilah,LY,74.25,clear sky,29.1081,21.2869,المنزل
397,Come,BJ,77.97,overcast clouds,6.4076,1.882,Groupe Ecart Hotel
399,Xilagani,GR,61.99,overcast clouds,40.9833,25.4167,Rōmylía
401,Atakpame,TG,72.73,light rain,7.5333,1.1333,Sossahoe
404,Thompson,CA,62.76,few clouds,55.7435,-97.8558,Burntwood Hotel
405,Bereda,ES,62.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
407,Marawi,PH,68.95,overcast clouds,7.9986,124.2928,Derogongan Residence
408,Ghanzi,BW,75.18,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
409,Ajdabiya,LY,71.11,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
410,Cap Malheureux,MU,71.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
411,Muborak,UZ,61.5,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
412,Zhanaozen,KZ,64.8,light rain,43.3,52.8,K.korabay 28A
415,Maragogi,BR,79.29,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
416,Harper,LR,77.52,broken clouds,4.375,-7.7169,Screensaver
418,Platanos,GR,68.09,overcast clouds,37.6667,21.6167,Hotel Kronio
420,Yarmouth,US,66.96,scattered clouds,41.7057,-70.2286,Blue Rock Resort
421,Tabas,IR,70.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
424,Ladario,BR,78.89,clear sky,-19.0047,-57.6017,Hotel Fazenda 4 cantos
426,Japura,ID,72.39,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
428,Rio Verde De Mato Grosso,BR,79.59,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
431,Ashdod,IL,75.49,clear sky,31.8167,34.65,West All Suite Hotel Ashdod - מלון ווסט אשדוד
433,Necochea,AR,64.09,few clouds,-38.5473,-58.7368,dyd -mar Hotel
435,Saint-Leu,RE,70.66,broken clouds,-21.15,55.2833,La Caz Oceane
438,San Martin,AR,70.34,clear sky,-33.081,-68.4681,Finca Vivencias
439,Axim,GH,77.47,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
